score	text
5	빵이 맛있네요
4	빵 정말 맛있어요
5	맛있어요
5	맛있어요 빙수 맛 집
4	맛있어요
4	맛있어요
5	너무 맛있어요 엉엉
5	역시는 역시
5	진짜 맛나요 재료 좋고 신선하고 코로나 땜에 시식을 못해 아쉬워요
5	좋아요
3	좋아요
4	빵 맛있어요
4	맛있어요
5	빵이 한가득 너무 좋아요 빵을 줄여야 살이 빠지는데
5	좋아요
5	맛있어요
5	최고
4	맛있네요
4	튀소 불혹
4	친절하고 다양해요 맛나요
5	맛있는 빵집 굿
4	맛있어요 주차가 어려워요
5	튀소 구마 너무 맛있어요 사서 바로 먹어야 합니다 바로 드세요
5	전설의 팥빙수 양도 많고 딸기가 들어가서 좋았습니다 팥도 싸구려는 아닌 거 같고요
4	명란 바게트가 단짠단짠이라 맛있어요
4	튀김 곰보빵이랑 부추 빵 먹었는데 튀김 곰보빵이 겉은 바싹하고 속은 촉촉해서 맛있어요 저렴한 가격에 먹을 수 있어서 너무 맛있었어요
5	언제나 행복한 곳
5	역시 성심당 튀소 구마 따뜻하고 바삭할 때 바로 드세요
5	성심당
5	전국 유명 한국식 빵집 중 제일 맛있음
5	말해 뭐 해 진짜 맛있어요
5	좋아요
4	굿 사람 오지게 많다
5	너무너무 행복한 성심당
4	맛있어요 친절해요
5	좋습니다
4	대전의 명물 성심당
4	맛있어요
3	좋아요
2	좋아요
5	좋아요
4	좋아요
5	대전의 자랑
5	대박이네요
4	맛있어요
3	좋아유
3	대전의 명물 성심당
4	좋아요
4	성심당 선물용으로 샀어요
5	명란 바게트 찹쌀 주먹밥시오 크루아상 최애 빵들
5	말해 뭐 해 최고임 눈 돌아갑니다
5	좋아요 좋아요 좋아
5	맛있어요
3	좋아요
4	언제 먹어도 맛있네요
5	빨대 줄이기 운동 실천하는 게 보기 좋습니다
5	역시 성심당 맛있어요
4	맛있어요
5	튀소 구마 장맛
5	맛있고 좋아요
4	먼저 들어갈 때 손소독하는 시스템이 잘 되어있어서 첫인상이 좋았어요 사람이 정말 많았지만 나름 질서 정연해서 빵을 선택하는데 어려움은 없었어요 빵은 다 맛있어 보이네요 개취로 명란 바게트는 뭔가 난해한 것 같습니다
4	좋아요
5	역수 맛 집
4	성심당 로드네요 완전 굿굿
5	다 맛있어요 이미
5	만원치 샀어요
5	빵이랑 같이 먹으니 맛있어요
5	은행동은 역시 성심당이죠 너무 맛있어요
5	성심당 빵 너무 맛있어요
3	좋아요
5	빵 너무 맛있어요
2	그냥저냥
3	대전까지 온 김에 또 빵에 홀려 마구마구 사 왔는데 담백한 빵을 더 좋아하는 나로서는 그럴 필요까지 없었던 것 같다 기름지고 느끼한 빵들이 많아 맛보기로 두어 가지 집어먹을걸 싶었다
4	초코빵 달달 씁쓸
5	한국이라 밀가루값 비싸져서인지 기본적으로 빠바든 뚜쥬든 비싼 거 생각하면 기본 값 맛은 동네 빵집 이상 빠방 뚜쥬 같은 대기업 못지않음
4	친구랑 먹으러 왔어요 오랜만에 왔는데 빠네 빠앙 매진이라 몽블랑으로 받았어요 마싀써용
4	많이 삼 굳굳
5	본점에는 맛있는 게 많아요
2	대전 대표 빵집 평타는 치지만 갈수록 빵 맛이 떨어짐 그래도 맛있음 어째 설까 같은 빵이지만 항상 맛이 다르고 더 좋아진 적은 없다 견과류도 적어지고 빵이 텁텁해지거나 안에 재료가 현저히 줄어 맛도 다운 초반에 맛있던 달달한 메아리 빵은 어느덧 맛없어 안 사 먹게 되고 그나마 미니 메아리는 큰 메아리보단 나음
5	성심당은 말이 필요 없습니다 다 맛있어요 눈 감고 아무거나 골라도 다 성공해요
5	사람들도 많고 빵도 많았어요 구매한 빵들 다 맛있어요
3	너무 맛있어요
5	아르바이트생 더 친절하고 맛있아요
4	대전의 명물이죠
5	늘 맛있는 토요 빵 남 남
2	대전 성심당 짱
5	좋아요 좋아요 좋아
0	공깃밥이 아닌 곤드레 돌솥밥을 주문했는데 메인메뉴와 밑반찬이 다 나와도 나오질 않아서 문의했더니 조리가 오래 걸린단 말을 들음 사전 주문 시 설명도 없었고 기다리다 다른 분이 고기와 밥을 곁들어드시고 싶으면 공기밥해 주문하라 해서 돌솥밥 조리가 되고 있는지 확인 요청했고 조리가 되고 있지 않다는 말을 듣고 차 기분이 나빴습니다 이후 공깃밥으로 메뉴 변경했고 같이 나온 된장찌개가 맛있어서 조 리 전의 된장 맛 위 궁금해서 맛을 좀 볼 수 있느냐고 요청했는데 가져다주지도 않고 피드백도 없었죠 다 먹고 계산하면서 된장 얘길 했을 때도 된장찌개로 맛봤으면 된 거 아니느냐는 답에 아 이집 된장은 판매도 찌개로만 하는가 싶었네요 된장을 판다는 분이 구매하고 싶다는 사람에게 된장 자체 맛도 안 보여주려 하고 소통도 안되고 잘 먹고 기분 버리고 갑니다
4	성인 명 아기 명이 해물탕과 갈비탕 먹었습니다 옛 터는 대전에서는 너무 유명한 곳이라 분위기는 두말하면 입 아프고 제가 먹은 음식도 국물 맛이 일품 약간 비싸다는 느낌은 있지만 가격에 합당한 내용물이 많습니다 해물탕은 국물 갈비탕은 갈비가 많아요 참고로 사진 찍는 기술이 없어서
4	친절해요
4	좀 비싼 감 있지만 먹을만해요
4	빙수 먹고 왔어요
4	맛있게 먹었어요
4	한식당 얼쑤 음식 산채비빔밥은 맛있어요 그런데 낙지 소면은 너무 맵기만 하고 소면은 불고 별로였습니다 낙지는 별로 보이지도 않고 음식 질에 비해 가격이 비쌉니다 서비스 서빙하는 아저씨도 약간 제멋대로인 것 같아요 친절함을 가장해 서빙하는 그런 분이신 듯 기분 좋게 식사하러 가서는 기분 상해서 나왔네요 카페 명이 빙수 개를 주문하고 앞접시를 부탁했더니 카페이기 때문에 앞접시가 없다고 하더라고요 피자도 팔면서 앞접시가 없다 그리고 빙수 하나에 천 원인데 정말 어이없는 구성과 양에 기가 막혔습니다 주변 구경도 하고 손님 모시고 가서 돈 좀 쓰고 오는 곳으로는 적당합니다
4	좋아
5	분위기가 좋아요 모닥불 찻방도 좋고 양식 한식 식사도 할 수 있어요 주차도 편하고요
4	맛있어 배분 너 이뿜 근데 산이라 벌레나왓심 아이 무셔
2	드라이브할 겸 갈비탕 먹으러 간 건데 나이 드신 남자분 서빙 보는데 진짜 꽝 서비스 교육도 다시 받으셨으면 좋겠네요 어떤 손님이 자기 맘대로 안 앉으니깐 큰소리로 들으라고 아기하고 그건 진짜 아닌 것 같은데 교육 좀 다시 받으세요 그런 서비스 마인드를 갖고 일하시면 안 될 것 같네요
5	예쁘게 잘 해놨네요 빙수도 맛있어요
4	비싸지만 맛있어요
4	좋아요
5	형제들과 다녀왔어요
5	방문
5	좋아요
4	분위기 좋고 차 맛있어요
5	분위기도 너무 좋고 커피도 맛있어요
5	모닥불 너무 좋네요
5	석갈비 맛있었어요
5	분위기 굿
4	너무 예뻐요
4	분위기 좋아요
5	분위기 좋아요
5	여기 커피 진짜 깔끔하고 맛있어요 헤이즐넛 향도 너무 좋고 라테도 맛있네요 몇 번 온 곳인데 커피가 맛있어서 자주 오는 곳이에요
5	칼국수 물 총 파전 모두 맛있어요
5	김치 꿀맛
4	오 씨 칼국수 국수 국수
2	옛날만 못함
4	저는 그냥 보통이네요 그리고 김치가 장난 아니게 매워요
2	조개 몽땅 청양고추 몽땅 복잡 복잡 손님 많으니 불친절 시쯤 가니 직원들 식사시간이라 추가 주문 안 되니 한번 주문에 빨리빨리 주문 요구
5	오늘도 역시나 맛있다
5	칼칼하고 맛있습니다 손님이 항상 많아요
4	맛나요
5	맛있습니다 바삭바삭 파전도 최고
5	동 죽 전문점이에요 물총도 시원하고 칼국수도 맛있어요
5	진짜 맛있어요
5	칼국수 물총 파전 너무 맛있어요
5	역시 맛있어요 추천
5	만족입니다
5	언제 먹어도 맛있어요 솔직히 여러 명이면 물총 하나에 칼국수 두 개 시켜 먹으면 존맛인디 둘이 먹으면 그걸 못해서 아쉬워요 포장해서 먹어도 맛있으니까 기다리지 마시고 집에서 드세요
4	면이 하나도 익질 않았어요 대체적으로 짜고 맵고 김치도 매워요 소주 안주론 제격이지만 식사용으론 아쉽네요
4	오 씨 칼국수
5	존맛탱 근데 홀보다 포장 이양이 쪼끔 작은 드 기분 탓인가
4	맛있습니다
4	맛있네요 물총도 맛있고 칼국수도 맛있어요
4	맛있는 집
5	맛있어요
4	대전 터줏대감 시원한 국물과 모래 하나 씹히지 않은 해감 수타로 한 쫄깃한 면발은 왜 여기가 유명한지 확인 시켜준다
4	비 오는 날 좋아요
3	물총 맛나요
3	줄 서서 먹을 만큼은 아니지만 평범한 맛
5	뇸뇸
4	어른 아이 명이 방문했는데 물총 하나 파전 개 칼국수 하나 시키려는데 칼국수가 부족하다 하더라고요 그래서 인분 시켰더니 다 남겼어요 개만 시켜도 충분했을 듯 맛은 좋아요
4	맛은 좋은데 너무 바빠서 그런지 친절함은 아쉽네요
5	언제나 맛있네요
4	물총이 쫄깃하고 맛있어요 김치는 저한텐 너무 맵네요
4	김치 정말 매워요 조개 맛있어요
5	코로나 난리 속에도 여전히 손님 북적북적하네요 포장해다 먹었는데 맛있습니다
5	물총 조개 포장했어요 양 많고 좋네요 술이 끝없이 들어 갈듯요
4	추억의 맛
5	칼국수 국물 끝내줘요
5	얼큰하고 시원하고 맛있었어요 김치 매워서 좋았고요 칼국수 국물이랑 물총조개국물스까서 칼국수 덜어 먹으면 맛있어요
3	매운 김치 엄청 매워요 그 맛에 가요 칼국수 국물이 끝내줘요
4	대전맛집
5	좋아요
5	좋아요
4	좋아요
5	칼국수 맛있게 점심 해결
4	맛있어요
5	맛나오
5	맛나요
4	친절
4	물총 맛있어요
4	오 씨 칼국수
5	정말 최고 맛나요 대체적으로 음식들이 매콤한데 맛있고 개운합니다
4	무난한 맛이에요
4	맛 집입니다 매운 김치 완전 굿
4	오 씨 칼국수 물총 조개
5	김치 이번에 맛이 좀 덜 있던데
4	우리 동네 맛집 호호
4	정말 맛나요
4	조개 짱
3	사람 많아요 점심시간이나 주말 피해 가세요 대기쩜
5	칼국수 하면 오 씨죠
5	대전 칼국수의 성지
5	장맛 물총 조개 럽럽
5	오래 기다리지만 장맛
5	대전 칼국수 최고 맛집
5	포장해왔는데 맛있게 잘 먹었어요
5	매번 너무너무 맛있어요
4	맛있어요 근데 김치가 조금 덜 매웠으면
4	너무너무 맛이 좋아요
5	오랜만에 방문 언제나 맛있어요
3	조금 짜요 사람 많아요
4	맛있어요 칼국수 육수가 꼬꼬면 생각나고
4	물총 탕리 맛있어요
4	좋아요
4	김치 맛이 좀 변했지만 역시 맛있어요
5	웨이팅 할 가치가 있는 곳입니다 너무너무 맛있어요
2	그다지 별로임
0	오랜만의 방문인데 늦은 시간이라 그런가 동죽이 몇 개 안 들어 있네요 칼국수 보자마자 동족 양이 왜 이래 그랬네요 변한 건가 싶고 아니길 바랍니다
5	유명한 만큼 맛도 맛있어요
5	웨이팅 분 정도 하다가 들어갔어요 물총 존맛탱
4	물총탕
4	주말이라 그런지 줄 서서 먹었어요 김치가 맵습니다 싸고 양 많고 맛있어요
5	존맛탱 또 오고 또 오고 또 와야 햄
5	내가 대전을 뜨지 못하는 이유
2	그냥 그래요
4	칼국수
4	맛나요
4	집 근처여서 자주 가요
4	사람도 많고 조개도 많고
3	친절해요 친절해요
4	물총에 칼국수 면 넣어드세요
5	카트 국수도 맛있고 물총도 맛있고 비 오는 날 좋아요
5	칼칼한 물총과 칼국수 너무 맛있어요
4	맛있어요
5	맛이 이색적 항상 줄을 선다 그래도 또 간다
4	맛있었어요
4	브런치 대표 가게
4	대전의 맛있는 브런치 식당
3	예전만큼 맛있지 않았지만 괜찮았어요
4	에그 베네딕트 맛있었습니다
4	프렌치토스트 추천합니다 너무 맛나요 양이 많아 보이지 않았는데 막상 먹다 보니 많이 배부르더라고요
1	수십 번 가봤지만 오늘은 만족도가 정말 떨어지네요 명 방문했고 웨이팅이 있어서 기다렸는데 명 이상 손님은 대기 순서 상관없이 먼저 넣어주더라고요 한참 기다려 겨우 저희 차례가 왔는데 저희 다음에 명 대기자가 있었는데 먼저 넣어주고 다시 한참 기다리던 중 명 단체가 오니 그렇게 기다려도 자리가 안 나더니 명 오자마자 바로 자리 안내를 하더라고요 있는 자리들 붙여서 자리를 마련한 모양이더군요 기다리는 저희에게 양해 말도 없이 그리고 계속 손님이 오길래 보니 명 명 손님들이더군요 그럼 이런 경우 명 손님은 마냥 계속 기다려야 하는 건지요 콜라도 상온 보관된 거랑 얼음 줘서 따랐더니 얼음이 분도 안돼 다 녹아 콜라 맛 물이 되고 직원 하나는 마스크도 턱에만 걸치고 안 쓰고 일합니다
5	여기 모루는 점심 메뉴 브런치 도 맛있지만 저녁에 먹은 리소토와 연어그라브락스도 환상이에요
4	버섯 크림 리소토 정말 맛있어요
5	에그 베네딕트 맛나요
5	맛있게 잘 먹었습니다 평일인데도 사람들이 많아서 잠시 대기하고 들어갔어요 에그 베네딕트는 여전히 맛있어서 좋았네요 그리고 리소토도 시켜서 먹고 있는데 매니저분이 오늘 새로 나온 메뉴라고 맛도 물어봐 주시고 맛있게 먹는 방법과 세세한 안내도 좋았네요 전체적으로 밝고 즐거운 분위기에 직원들도 친절해서 더 좋은 것 같습니다 다음에 또 방문할게요
5	맛있어요
4	좋아요
4	맛있어요
4	맛있지만 양이 너무너무 적어요
4	맛과 분위기에 함께 한 분들과도 즐거운 시간을 가졌답니다
5	분위기도 너무 좋고 음식도 너무 맛있었습니다
5	맛있었어요 최근 방문한 맛 집중에서 제일 좋았던 거 같아요 매장 분위기도 활기차고 직원들도 친절했습니다
1	새 건물로 처음 옮겼을 때 방문하고 엄청 오랜만에 방문했는데 그동안 커튼을 한 번도 안 빨았는지 회색빛이 돌더라고요 창가랑 구석에는 먼지도 많았고 물컵에서는 물 때 냄새 머리 바로 위 스피커에서는 마치 클럽에 온 듯한 음악에 정신이 하나도 없었어요 음식이라도 맛있으면 괜찮겠지 싶었는데 가장 오래 걸린다던 퀘사디아가 가장 빨리 나오고 스트로베리 프렌치토스트는 냉동 딸기인지 딸기가 흐물흐물 주문한 아이스 아메리카노는 주문 누락 그나마 맛있었던 퀘사디아도 커피 나오길 기다리다가 딱딱하게 굳어버리고 다시 주문한 커피도 아르바이트생이 다른 테이블 먼저 서빙해서 또 기다려서 받고 기분 좋게 시작한 주말 아침이 엉망이 되었네요 직원을 늘려서 매장 관리 질을 높이면 좋겠어요 음식에 비해 아쉽네요
4	맛도 좋고 분위기도 좋은데 컵에서 물 비린내가 넘나 심한 게 조금 아쉬움
4	음식은 모루답게 진짜 맛있었어요 사람도 많이 없어서 안 바쁘셨을 거 같은데 조금 서비스도 아쉬웠어요 보통 모루 가면 음식 나오기 전에 커피 주시던데 커피도 음식 하나 나오고 다 먹어가는데도 안 나와서 달라고 부탁드렸어요 그리고 음악이 너무 시끄러워서 빨리 나오고 싶었어요 소리 자체도 너무 커서 귀도 아프고 너무 클럽 노래라서 브런치를 천천히 즐길 수 있는 분위기는 아니었던 거 같아요 레스토랑이 음식이 맛있는 게 가장 중요한 건 맞지만 서비스랑 음악 선정도 중요하다고 생각해요 컴플레인이라고만 생각하시지 마셨으면 좋겠어요 지금도 너무 유명하고 음식 맛있기로 소문난 곳이지만 저런 점을 조금 개선하면 더 좋지 않을까 생각해서 애정 담아 리뷰 남깁니다
5	맛나요 오픈 시간 일러서도 좋아요
4	메뉴 개시 켰는데 모두 만족 평일 시 넘어서 갔는데도 대기는 조금 있었어요
5	버섯 크림 리소토 너무 맛있어요
3	맛있고 좋았어요 안되는 메뉴도 좀 많고 이어 수산한 거만 빼면 괜찮았습니다
5	에그 베네딕트 맛 집
4	오믈렛은 개인적으로 별로였고 리소토는 너무 맛있었음
4	에그 베네딕트는 소문대로 맛 집인 것 같아요 오믈렛도 추천해 주셨는데 보들보들 맛있습니다 사장님이 친절하시고 매너가 좋았어요 직원분들이 친절하고 분위기도 좋았어요 시쯤 간 것 간 것 같은데 주말이라 그런지 대기시간 좀 있습니다 평일에도 이 정도인지 궁금하네요 대기시간이 길어서 그런지 음식 나오는 시간도 긴것 같아요 미리 주문할 음식을 정해놓는 게 조금이라도 빨리 받을 수 있을 것 같아요 주차공간이 없습니다 이게 좀 불편했어요 전체적인 분위기도 좋고 친절하고 맛있습니다 주말 나들이로 좋을 것 같아요
4	역시는 역시네요 친구가 부산에서 올라와서 오랜만에 방문했는데 친구도 너무 맛있다고 좋아하네요 역시는 역시인가 봅니다 그리고 남자분 사장님이 설명도 센스 있게 잘해주시고 친절하셔서 즐거운 식사였습니다 오믈렛은 꼭 드셔보시길
5	항상 가는데 너무 맛있어요
5	둔산동 맛집
0	몇 년 전부터 꾸준히 다니지만 요즘은 정말 갈 때마다 별로가 되어가고 있음 아무리 못해도 주마다는 갔던 듯 일단 위치 옮기고 샐러드 양도 엄청 많이 줆 초반에 너무 차이 나서 여쭸더니 너무 많이 남겨지고 해서 양을 전체적으로 줄였다 하셨었음 이미 몇 년 전이지만 그게 정량이라 함 매번 뭔가 아쉽다 싶게 다녔는데 에그 베네딕트는 여기만 한 곳이 없어서 그래도 꾸역꾸역 그거 먹으러 다님 근데 오늘은 거의 오픈 타임에 샐러드 채소가 다 물러져서 나옴 엄청 찢어져있고 잎도 녹아있고 흐물흐물 위에 올라온 것만 초록 초록하지만 잘 보면 그것도 눌리고 마구잡이로 찢어져있었음 컴플레인 넣어서 새로 가져다주셨는데 그것도 위에 건 먹다 보니 아랫부분은 녹아내린 채소임 그래서 그냥 포기하고 남기고 나옴 이젠 다음은 없을 듯
