score	text
5	분위기 굿
3.5	라탄 느낌이 너무 예뻐요 사람이 많지만 음료도 맛있어요 아메리카노는 산미가 좀 있어서 제 스탈은 아니지만 ㅠㅠ
5	만족합니다
4.5	아빠라 달달합니다~
5	일층만 분위기 짱 ㅋㅋ 카페 너무 이뻐요 다른 층에도 자리가 엄청 많네요 ~ 라탄으로 꾸며져있어요 음료도 이뿜?
5	케이크와 음료가 맛있고, 분위기도 좋은 카페였어요.
4.5	공간이 정말 너무 예쁘고 좋아요~!!
5	굿
5	좋아요
3	굿
4.5	맛있어요 굳굳굳
5	비 오는 날 동남아 카페! 맨 위층 다락방 감동입니다.
5	강남치고 음료 가격이 괜찮아요. 라탄 좋아하는 분들 오시면 만족할 것 같아요.
4	날 좋은 날 가면 더 예쁠 거 같다
4.5	사람이 진짜 많은데 분위기가 너무 좋아요
4.5	생각보다 안쪽은 엄청 넓어요. 그리고 분위기가 너무 좋아요!
5	여기 진짜 취저네요 사진 짱 많이건 짐 bb ㅋㅋㅋ 올해 코로나 때문에 해외여행 못 간 거 여기서 다 풀고 온 듯
5	카페 분위기 너무 좋아요 카페 직원분들도 친절하시고 음료도 맛있습니다! 재방문의 사 있어요!!
5	저번엔 커피 마셨었는데 밀크티도 맛있네요! 케이크도 맛있어요! 그리고 사진이 진짜 잘 나와요:)
5	저번에 왔을 때는 몰랐는데 4층도 있었네요 아늑하니 너무 예쁘고 좋았어요 단골 될 것 같네요 ㅎㅎ
5	딸기 라테 맛있어요^^
4	솔직히 맛은 그저 그렇고 캐셔 분이 친절하진 않지만 높은 층고와 라탄으로 인해 휴가 온듯한 분위기! 맛은 너무 기대하지마세유ㅠㅠ
5	느낌 너무 좋아요
4.5	예뻐요
3.5	엄청 비싼데 내부 분위기가 진심 대박....
5	분위기 굿!!! 카페가 위아래로 크고 예뻐요. 생각보다 엄청 넓은데 사람도 많아요. 음료랑 디저트는 비싼 편입니다.
5	동남아 분위기 너무 예뻐요 케이크들도 맛있어요
